0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,97,82,82,82,82,82,98,82,82,82,82,82,82,82,82,99,0,0,0
0,112,161,162,162,162,163,128,161,162,162,162,162,162,162,163,128,0,0,0
0,112,193,194,194,194,195,160,193,194,194,194,194,194,194,195,160,0,0,0
0,112,33,34,34,34,35,192,33,34,34,34,34,34,34,35,192,0,0,0
0,160,49,16,16,16,16,34,16,16,16,66,16,16,16,16,19,0,0,0
0,176,65,16,66,66,66,66,66,66,67,160,65,66,66,67,160,0,0,0
0,177,163,64,161,162,162,162,162,162,163,192,161,162,162,163,192,0,0,0
0,193,195,160,193,194,194,194,194,194,195,0,193,194,194,195,0,0,0,0
0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
