0,0,0,0,0,0,0,0,0,0,0,97,82,82,82,82,82,99,0,0
97,83,0,81,82,82,99,0,97,82,82,131,145,146,146,146,147,112,0,0
112,178,16,145,146,147,129,82,131,145,194,147,16,16,16,16,16,112,0,0
128,16,16,16,16,16,145,146,147,16,16,16,16,16,16,16,16,112,0,0
160,16,16,16,16,16,16,16,16,16,16,16,16,178,16,16,16,112,0,0
193,147,16,16,16,16,16,16,16,16,16,16,178,16,16,16,16,128,0,0
0,0,145,146,146,147,16,16,16,145,146,147,0,178,16,16,16,160,0,0
0,0,0,0,0,0,145,146,147,0,0,0,0,0,178,16,145,195,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
