0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,97,82,82,82,82,82,82,82,82,82,82,99,0,0,0,0,0,0
0,0,128,145,146,146,146,146,146,146,146,146,147,129,99,0,0,0,0,0
0,0,178,33,34,34,34,34,34,34,34,34,35,178,129,99,0,0,0,0
0,0,17,66,66,66,66,66,66,66,16,16,16,35,178,112,0,0,0,0
0,0,161,162,162,162,162,162,162,163,65,66,16,16,35,112,0,0,0,0
0,0,177,144,144,144,144,144,144,179,161,163,49,16,51,112,0,0,0,0
0,0,177,194,194,194,144,144,144,179,177,179,49,16,51,112,0,0,0,0
0,0,176,97,82,83,177,144,144,179,177,179,49,16,51,128,0,0,0,0
0,0,176,128,161,163,193,194,194,195,33,34,16,16,67,160,0,0,0,0
0,0,176,160,193,195,33,34,34,34,66,66,66,67,160,192,0,0,0,0
0,0,176,192,33,34,66,66,66,67,161,162,162,163,192,0,0,0,0,0
0,0,176,33,16,67,161,162,162,163,193,194,194,195,96,0,0,0,0,0
0,0,176,49,51,160,193,194,194,195,97,98,98,98,115,0,0,0,0,0
0,0,176,49,51,176,81,82,82,98,80,80,80,80,115,0,0,0,0,0
0,0,176,49,51,193,146,146,147,129,130,130,130,130,131,0,0,0,0,0
0,0,176,65,66,34,34,34,35,145,146,146,146,146,147,0,0,0,0,0
0,0,192,161,163,65,66,66,66,18,18,18,18,18,19,0,0,0,0,0
0,0,0,193,195,161,162,162,162,162,162,162,162,162,163,0,0,0,0,0
0,0,0,0,0,193,194,194,194,194,194,194,194,194,195,0,0,0,0,0
